LicenseFinder::GoModules: [32mis active[0m

Dependencies that need approval:
github.com/aws/aws-sdk-go, v1.15.79, unknown
github.com/cenkalti/backoff, v2.2.1+incompatible, unknown
github.com/codegangsta/cli, v1.20.0, unknown
github.com/containerd/containerd, v1.3.2, unknown
github.com/cyberark/conjur-api-go, v0.5.2, unknown
github.com/cyberark/conjur-authn-k8s-client, v0.16.1, unknown
github.com/cyberark/summon, v0.7.0, unknown
github.com/denisenkom/go-mssqldb, v0.0.0-20191001013358-cfbb681360f0, unknown
github.com/docker/distribution, v2.7.1+incompatible, unknown
github.com/docker/docker, v1.4.2-0.20191231165639-e6f6c35b7902, unknown
github.com/docker/go-connections, v0.4.0, unknown
github.com/docker/go-units, v0.4.0, unknown
github.com/fsnotify/fsnotify, v1.4.7, unknown
github.com/go-ozzo/ozzo-validation, v3.6.0+incompatible, unknown
github.com/google/btree, v1.0.0, unknown
github.com/googleapis/gnostic, v0.3.1, unknown
github.com/gregjones/httpcache, v0.0.0-20190611155906-901d90724c79, unknown
github.com/hashicorp/vault/api, v1.0.2, unknown
github.com/heptiolabs/healthcheck, v0.0.0-20180807145615-6ff867650f40, unknown
github.com/imdario/mergo, v0.3.8, unknown
github.com/joho/godotenv, v1.2.0, unknown
github.com/json-iterator/go, v1.1.8, unknown
github.com/lib/pq, v0.0.0-20180123210206-19c8e9ad0095, unknown
github.com/opencontainers/go-digest, v1.0.0-rc1, unknown
github.com/opencontainers/image-spec, v1.0.1, unknown
github.com/pkg/errors, v0.8.1, unknown
github.com/pkg/profile, v1.2.1, unknown
github.com/prometheus/client_golang, v1.2.1, unknown
github.com/smartystreets/goconvey, v0.0.0-20190731233626-505e41936337, unknown
github.com/spf13/pflag, v1.0.5, unknown
github.com/stretchr/testify, v1.3.0, unknown
golang.org/x/crypto, v0.0.0-20190510104115-cbcb75029529, unknown
gopkg.in/yaml.v2, v2.2.2, unknown
k8s.io/api, v0.0.0-20180712090710-2d6f90ab1293, unknown
k8s.io/apiextensions-apiserver, v0.0.0-20180808065829-408db4a50408, unknown
k8s.io/apimachinery, v0.0.0-20180621070125-103fd098999d, unknown
k8s.io/client-go, v0.0.0-20180806134042-1f13a808da65, unknown
